id,opera,aria,year,composer,Character,Clef 1,Clef 2,Clef 3
0182,Did31M,Va_crescendo,1760,Bernasconi,Didone,C-1,,
0183,Did33M,Cadra_fra,1760,Bernasconi,Iarba,C-4,,
0184,Did34M,Vado_ma,1760,Bernasconi,Didone,C-1,,
0185,Did01M,Dovrei_ma,1742,Hasse,Enea,C-3,,
0186,Did02M,Diro_che,1742,Hasse,Selene,C-1,,
0187,Did04M,Tu_mi_scorgi,1742,Hasse,Osmida,F-4,,
0188,Did05M,Fra_lo,1742,Hasse,Iarba,C-1,,
0189,Did06M,Se_dalle,1742,Hasse,Araspe,C-1,,
0190,Did15M,Leon_che,1742,Hasse,Iarba,C-1,,
0191,Did17M,L_augelletto,1742,Hasse,Araspe,C-1,,
0192,Did19M,Vedi_nel,1742,Hasse,Enea,C-3,,
0193,Did21M,Tacero_se,1742,Hasse,Araspe,C-1,,
0194,Did23M,Veggio_la,1742,Hasse,Selene,C-1,,
0195,Did24M,Chiamami_pur,1742,Hasse,Iarba,C-1,,
0196,Did25M,Va_lusingando,1742,Hasse,Didone,C-1,,
0197,Did26M,Vivi_superbo,1742,Hasse,Enea,C-3,,
0198,Did01M,Dovrei_ma,1747,Jommelli,Enea,C-1,,
0199,Did02M,Diro_che,1747,Jommelli,Selene,C-1,,
0200,Did04M,Tu_mi_scorgi,1747,Jommelli,Osmida,C-3,,
0201,Did05M,Fra_lo,1747,Jommelli,Iarba,C-4,,
0202,Did02M,Diro_che,1749,Jommelli,Selene,C-1,,
0203,Did06M,Se_dalle,1749,Jommelli,Araspe,C-1,,
0204,Did21M,Tacero_se,1749,Jommelli,Araspe,C-1,,
0205,Did25M,Va_lusingando,1749,Jommelli,Didone,C-1,,
0206,Did16M,Ardi_per,1749,Jommelli,Selene,C-1,,
0207,Did09M,Son_quel,1749,Jommelli,Iarba,C-4,,
0208,Did40M,Tormento_il,1749,Jommelli,Enea,C-1,,
0209,Did28M,Quando_londa,1749,Jommelli,Osmida,C-3,,
0210,Did29M,A_trionfar,1749,Jommelli,Enea,C-1,,
0211,Did32M,Gia_si,1741,Bernasconi,Araspe,C-3,,
0212,Did28M,Quando_londa,1742,Hasse,Osmida,F-4,,
0213,Did29M,A_trionfar,1742,Hasse,Enea,C-3,,
0214,Did07M,Quando_saprai,1747,Jommelli,Enea,C-1,,
0215,Did10M,Infelice_e,1747,Jommelli,Araspe,C-1,,
0216,Did11M,Tu_mi_disarmi,1747,Jommelli,Iarba,C-4,,
0217,Did30M,Nel_duol,1749,Jommelli,Selene,C-1,,
0218,Did32M,Gia_si,1749,Jommelli,Araspe,C-1,,
0219,Did20M,Fosca_nube,1749,Jommelli,Iarba,C-4,,
0220,Did54X,Lungi_dal,1747,Jommelli,Didone,C-1,,
0221,Did19M,Vedi_nel,1747,Jommelli,Enea,C-1,,
0222,Did26M,Vivi_superbo,1747,Jommelli,Enea,C-1,,
0223,Did28M,Quando_londa,1747,Jommelli,Osmida,C-3,,
0224,Did29M,A_trionfar,1747,Jommelli,Enea,C-1,,
0225,Did30M,Nel_duol,1747,Jommelli,Selene,C-1,,
0226,Did31M,Va_crescendo,1747,Jommelli,Didone,C-1,,
0227,Did32M,Gia_si,1747,Jommelli,Araspe,C-1,,
0228,Did34M,Vado_ma,1747,Jommelli,Didone,C-1,,
0229,Did30M,Nel_duol,1742,Hasse,Selene,C-1,,
0230,Did01M,Dovrei_ma,1751,Perez,Enea,C-1,,
0231,Did32M,Gia_si,1742,Hasse,Araspe,C-1,,
0232,Did53X,Ombra_cara,1742,Hasse,Didone,C-1,,
0233,Did02M,Diro_che,1751,Perez,Selene,C-1,,
0234,Did34M,Vado_ma,1742,Hasse,Didone,C-1,,
0235,Did04M,Tu_mi_scorgi,1751,Perez,Osmida,C-4,,
0236,Did05M,Fra_lo,1751,Perez,Iarba,C-4,,
0237,Did21M,Tacero_se,1747,Jommelli,Araspe,C-1,,
0238,Did92X,Ah_le,1747,Jommelli,Enea,C-1,,
0239,Did07M,Quando_saprai,1751,Perez,Enea,C-1,,
0240,Did23M,Veggio_la,1747,Jommelli,Selene,C-1,,
0241,Did09M,Son_quel,1751,Perez,Iarba,C-4,,
0242,Did01M,Dovrei_ma,1763,Traetta,Enea,C-1,,
0243,Did02M,Diro_che,1763,Traetta,Selene,C-1,,
0244,Did06M,Se_dalle,1751,Perez,Araspe,C-1,,
0245,Did11M,Tu_mi_disarmi,1751,Perez,Iarba,C-4,,
0246,Did05M,Fra_lo,1763,Traetta,Iarba,C-4,,
0247,Did93X,Sho_la,1751,Perez,Selene,C-1,,
0248,Did61X,Pace_non,1763,Traetta,Araspe,C-3,,
0249,Did55M-ZenXa,Non_so,1751,Perez,Araspe,C-1,,
0250,Did19M,Vedi_nel,1751,Perez,Enea,C-1,,
0251,Did07M,Quando_saprai,1763,Traetta,Enea,C-1,,
0252,Did20M,Fosca_nube,1751,Perez,Iarba,C-4,,
0253,Did56X,Nell_affano,1751,Perez,Enea,C-1,,
0254,Did49M-Sem,Io_veggo,1739,Lampugnani,Didone,C-1,,
0255,Did57X,Fra_tutte,1751,Perez,Selene,C-1,,
0256,Did24M,Chiamami_pur,1751,Perez,Iarba,C-4,,
0257,Did01M,Dovrei_ma,1762,Sarti,Enea,C-1,,
0258,Did58X,Infelice_abbandonata,1751,Perez,Didone,C-1,,
0259,Did04M,Tu_mi_scorgi,1762,Sarti,Osmida,C-4,,
0260,Did09M,Son_quel,1762,Sarti,Iarba,C-4,,
0261,Did60X,Teneri_affetti,1751,Perez,Enea,C-1,,
0262,Did06M,Se_dalle,1762,Sarti,Araspe,F-4,,
0263,Did59X,Chel_nocchier,1751,Perez,Araspe,C-1,,
0264,Did16M,Ardi_per,1762,Sarti,Selene,C-1,,
0265,Did22M ,Non_cede,1762,Sarti,Enea,C-1,,
0266,Did34M,Vado_ma,1751,Perez,Didone,C-1,,
0267,Did31M,Va_crescendo,1751,Perez,Didone,C-1,,
0268,Did30M,Nel_duol,1751,Perez,Selene,C-1,,
0269,Did41M,La_caduta,1762,Sarti,Iarba,C-4,,
0270,Did20M,Fosca_nube,1762,Sarti,Iarba,C-4,,
0271,Did07M,Quando_saprai,1762,Sarti,Enea,C-1,,
0272,Did28M,Quando_londa,1762,Sarti,Osmida,C-4,,
0273,Did34M,Vado_ma,1762,Sarti,Didone,C-1,,
0274,Did29M,A_trionfar,1762,Sarti,Enea,C-1,,
0275,Did42M,Io_damor,1762,Sarti,Selene,C-1,,
0276,Did31M,Va_crescendo,1762,Sarti,Didone,C-1,,
0277,Did40M,Tormento_il,1762,Sarti,Enea,C-1,,
0278,Did24M,Chiamami_pur,1762,Sarti,Iarba,C-4,,
0279,Did34M,Vado_ma,1768,Boroni,Didone,C-1,,
0280,Did01M,Dovrei_ma,1768,Boroni,Enea,C-1,,
0281,Did04M,Tu_mi_scorgi,1768,Boroni,Osmida,C-4,,
0282,Did05M,Fra_lo,1768,Boroni,Iarba,C-4,,
0283,Did07M,Quando_saprai,1768,Boroni,Enea,C-1,,
0284,Did10M,Infelice_e,1768,Boroni,Araspe,C-3,,
0285,Did01M,Dovrei_ma,1769,Majo,Enea,C-1,,
0286,Did21M,Tacero_se,1762,Sarti,Araspe,F-4,,
0287,Did11M,Tu_mi_disarmi,1768,Boroni,Iarba,C-4,,
0288,Did14M,Pensa_che,1768,Boroni,Osmida,C-4,,
0289,Did08M,Ogni_amator,1762,Sarti,Selene,C-1,,
0290,Did21M,Tacero_se,1768,Boroni,Araspe,C-3,,
0291,Did02M,Diro_che,1769,Majo,Selene,C-1,,
0292,Did01M,Dovrei_ma,1810,Paer,Enea,C-4,,
0293,Did05M,Fra_lo,1769,Majo,Iarba,C-4,,
0294,Did51Xa,Ah_non_sai,1768,Boroni,Enea,C-1,,
0295,Did86M-Nit10M,Povero_cor,1810,Paer,Didone,C-1,,
0296,Did23M,Veggio_la,1768,Boroni,Selene,C-1,,
0297,Did07M,Quando_saprai,1769,Majo,Enea,C-1,,
0298,Did29M,A_trionfar,1768,Boroni,Enea,C-1,,
0299,Did94X,Rupe_esposta,1769,Majo,Araspe,C-1,,
0300,Did30M,Nel_duol,1768,Boroni,Selene,C-1,,
0301,Did31M,Va_crescendo,1768,Boroni,Didone,C-1,,
0302,Did32M,Gia_si,1768,Boroni,Araspe,C-3,,
0303,Did11M,Tu_mi_disarmi,1810,Paer,Iarba,C-4,,
0304,Did11M,Tu_mi_disarmi,1769,Majo,Iarba,C-4,,
0305,Did71X,Quanto_per,1769,Majo,Didone,C-1,,
0306,Did20M,Fosca_nube,1768,Boroni,Iarba,C-4,,
0307,Did02M,Diro_che,1768,Boroni,Selene,C-1,,
0308,Did70X,No_non_parti,1768,Boroni,Didine&Enea&Iarba,C-1,C-1,C-4
0309,Did90X,Accoglio_regina,1810,Paer,Didone&Iarba,C-1,C-4,
0310,Did69X,Placa_il,1768,Boroni,Didone&Enea,C-1,C-1,
0311,Did01M,Dovrei_ma,1794,Paisiello,Enea,C-1,,
