,mc,mn,mc_onset,mn_onset,timesig,staff,voice,duration,gracenote,nominal_duration,scalar,tied,tpc,midi,volta,chord_id
818,68,68,11/32,11/32,3/8,2,1,1/32,,1/32,1,,0,72,,811
819,69,69,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,830
820,69,69,0,0,3/8,3,1,1/16,,1/16,1,,-1,65,,823
821,69,69,0,0,3/8,2,1,1/32,,1/32,1,,2,74,,819
822,69,69,1/32,1/32,3/8,2,1,1/32,,1/32,1,,0,72,,820
823,69,69,1/16,1/16,3/8,4,1,1/16,,1/16,1,,-1,65,,827
824,69,69,1/16,1/16,3/8,2,1,1/16,,1/16,1,,-2,70,,821
825,69,69,1/16,1/16,3/8,3,1,1/16,,1/16,1,,-2,70,,824
826,69,69,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,53,,831
827,69,69,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-1,65,,828
828,69,69,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,825
829,69,69,1/8,1/8,3/8,2,1,1/4,,1/4,1,,0,72,,822
830,69,69,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-1,41,,832
831,69,69,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-1,65,,829
832,69,69,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,826
833,70,70,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,1,842
834,70,70,0,0,3/8,4,1,1/8,,1/8,1,,-1,65,1,841
835,70,70,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,1,835
836,70,70,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,1,838
837,70,70,1/8,1/8,3/8,5,1,1/8,,1/8,1,,1,55,1,843
838,70,70,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,1,839
839,70,70,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,1,833
840,70,70,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,1,836
841,70,70,1/4,1/4,3/8,5,1,1/8,,1/8,1,,1,55,1,844
842,70,70,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,1,840
843,70,70,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,1,834
844,70,70,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,1,837
845,71,70,0,0,3/8,5,1,1/4,,1/4,1,,-2,46,2,848
846,71,70,0,0,3/8,4,1,1/4,,1/4,1,,-1,65,2,847
847,71,70,0,0,3/8,2,1,1/4,,1/4,1,,-2,70,2,845
848,71,70,0,0,3/8,3,1,1/4,,1/4,1,,-2,70,2,846
849,72,71,0,0,3/8,5,1,1/8,,1/8,1,,6,54,,858
850,72,71,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,855
851,72,71,0,0,3/8,1,1,1/8,,1/8,1,,-3,75,,849
852,72,71,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,852
853,72,71,1/8,1/8,3/8,5,1,1/8,,1/8,1,,6,54,,859
854,72,71,1/8,1/8,3/8,3,1,1/8,,1/8,1,,3,69,,856
855,72,71,1/8,1/8,3/8,1,1,1/8,,1/8,1,,7,73,,850
856,72,71,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,853
857,72,71,1/4,1/4,3/8,5,1,1/8,,1/8,1,,6,54,,860
858,72,71,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,857
859,72,71,1/4,1/4,3/8,1,1,1/8,,1/8,1,1,2,74,,851
860,72,71,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,854
861,73,72,0,0,3/8,5,1,1/8,,1/8,1,,1,55,,872
862,73,72,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,869
863,73,72,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,866
864,73,72,0,0,3/8,1,1,1/8,,1/8,1,-1,2,74,,861
865,73,72,1/8,1/8,3/8,5,1,1/8,,1/8,1,,1,55,,873
866,73,72,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,870
867,73,72,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-2,70,,867
868,73,72,1/8,1/8,3/8,1,1,1/16,,1/16,1,,0,72,,862
869,73,72,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-2,70,,863
870,73,72,1/4,1/4,3/8,5,1,1/8,,1/8,1,,7,49,,874
871,73,72,1/4,1/4,3/8,3,1,1/8,,1/8,1,,1,67,,871
872,73,72,1/4,1/4,3/8,1,1,1/16,,1/16,1,,3,69,,864
873,73,72,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-2,70,,868
874,73,72,5/16,5/16,3/8,1,1,1/16,,1/16,1,,1,67,,865
875,74,73,0,0,3/8,5,1,1/4,,1/4,1,,2,50,,887
876,74,73,0,0,3/8,1,1,1/8,,1/8,1,,1,67,,875
877,74,73,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,882
878,74,73,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,877
879,74,73,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,6,66,,883
880,74,73,1/8,1/8,3/8,1,1,1/8,,1/8,1,,6,66,,876
881,74,73,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,3,69,,878
882,74,73,7/32,7/32,3/8,3,1,1/32,,1/32,1,,4,64,,884
883,74,73,7/32,7/32,3/8,2,1,1/32,,1/32,1,,1,67,,879
884,74,73,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,6,66,,885
885,74,73,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,3,69,,880
886,74,73,11/32,11/32,3/8,3,1,1/32,,1/32,1,,1,67,,886
887,74,73,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-2,70,,881
888,75,74,0,0,3/8,5,1,1/4,,1/4,1,,2,50,,900
889,75,74,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,895
890,75,74,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,890
891,75,74,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,3,69,,896
892,75,74,1/8,1/8,3/8,1,1,1/8,,1/8,1,,3,69,,888
893,75,74,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,891
894,75,74,7/32,7/32,3/8,3,1,1/32,,1/32,1,,1,67,,897
895,75,74,7/32,7/32,3/8,2,1,1/32,,1/32,1,,5,71,,892
896,75,74,1/4,1/4,3/8,1,1,1/8,,1/8,1,,2,62,,889
897,75,74,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,3,69,,898
898,75,74,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,893
899,75,74,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-2,70,,899
900,75,74,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,894
901,76,75,0,0,3/8,5,1,1/4,,1/4,1,,2,50,,913
902,76,75,0,0,3/8,1,1,3/32,,1/16,3/2,,0,72,,901
903,76,75,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,910
904,76,75,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,905
905,76,75,3/32,3/32,3/8,1,1,1/32,,1/32,1,,5,71,,902
906,76,75,1/8,1/8,3/8,3,1,1/8,,1/8,1,,6,66,,911
907,76,75,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,3,69,,906
908,76,75,1/8,1/8,3/8,1,1,1/8,,1/8,1,,0,72,,903
909,76,75,7/32,7/32,3/8,2,1,1/32,,1/32,1,,1,67,,907
910,76,75,1/4,1/4,3/8,3,1,1/8,,1/8,1,,6,66,,912
911,76,75,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,3,69,,908
912,76,75,1/4,1/4,3/8,1,1,1/8,,1/8,1,1,-3,75,,904
913,76,75,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-2,70,,909
914,77,76,0,0,3/8,5,1,1/8,,1/8,1,,2,50,,923
915,77,76,0,0,3/8,3,1,1/8,,1/8,1,,6,66,,920
916,77,76,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,917
917,77,76,0,0,3/8,1,1,1/8,,1/8,1,-1,-3,75,,914
918,77,76,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,50,,924
919,77,76,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,921
920,77,76,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-2,70,,918
921,77,76,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,915
922,77,76,1/4,1/4,3/8,5,1,1/8,,1/8,1,,2,50,,925
923,77,76,1/4,1/4,3/8,3,1,1/8,,1/8,1,,6,66,,922
924,77,76,1/4,1/4,3/8,2,1,1/8,,1/8,1,,3,69,,919
925,77,76,1/4,1/4,3/8,1,1,1/8,,1/8,1,,0,72,,916
926,78,77,0,0,3/8,5,1,1/16,,1/16,1,,1,43,,932
927,78,77,0,0,3/8,3,1,1/4,,1/4,1,,1,67,,930
928,78,77,0,0,3/8,1,1,1/4,,1/4,1,,-2,70,,926
929,78,77,0,0,3/8,2,1,1/4,,1/4,1,,-2,70,,928
930,78,77,1/16,1/16,3/8,5,1,1/16,,1/16,1,,3,45,,933
931,78,77,1/8,1/8,3/8,5,1,1/16,,1/16,1,,-2,46,,934
932,78,77,3/16,3/16,3/8,5,1,1/16,,1/16,1,,0,48,,935
933,78,77,1/4,1/4,3/8,5,1,1/8,,1/8,1,,2,50,,936
934,78,77,1/4,1/4,3/8,3,1,1/8,,1/8,1,,6,66,,931
935,78,77,1/4,1/4,3/8,1,1,1/8,,1/8,1,,3,69,,927
936,78,77,1/4,1/4,3/8,2,1,1/8,,1/8,1,,3,69,,929
937,79,78,0,0,3/8,3,1,3/32,,1/16,3/2,,1,67,,944
938,79,78,0,0,3/8,2,1,3/32,,1/16,3/2,,-2,70,,939
939,79,78,3/32,3/32,3/8,3,1,1/32,,1/32,1,,6,66,,945
940,79,78,3/32,3/32,3/8,2,1,1/32,,1/32,1,,3,69,,940
941,79,78,1/8,1/8,3/8,5,1,1/8,,1/8,1,,1,55,,949
942,79,78,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,1,67,,946
943,79,78,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,-2,70,,941
944,79,78,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,937
945,79,78,7/32,7/32,3/8,3,1,1/32,,1/32,1,,3,69,,947
946,79,78,7/32,7/32,3/8,2,1,1/32,,1/32,1,,0,72,,942
947,79,78,1/4,1/4,3/8,5,1,1/8,,1/8,1,,1,55,,950
948,79,78,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,948
949,79,78,1/4,1/4,3/8,1,1,1/8,,1/8,1,,2,74,,938
950,79,78,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,943
951,80,79,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,959
952,80,79,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,956
953,80,79,0,0,3/8,1,1,1/8,,1/8,1,,7,73,,951
954,80,79,0,0,3/8,2,1,1/8,,1/8,1,,7,73,,953
955,80,79,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-3,51,,960
956,80,79,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,957
957,80,79,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,954
958,80,79,1/8,1/8,3/8,1,1,1/4,,1/4,1,,7,73,,952
959,80,79,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-3,51,,961
960,80,79,1/4,1/4,3/8,3,1,1/8,,1/8,1,,1,67,,958
961,80,79,1/4,1/4,3/8,2,1,1/8,,1/8,1,,7,73,,955
962,81,80,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,970
963,81,80,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,967
964,81,80,0,0,3/8,1,1,1/8,,1/8,1,,7,73,,962
965,81,80,0,0,3/8,2,1,1/8,,1/8,1,,7,73,,964
966,81,80,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-3,51,,971
967,81,80,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,968
968,81,80,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,965
969,81,80,1/8,1/8,3/8,1,1,1/4,,1/4,1,,7,73,,963
970,81,80,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-3,51,,972
971,81,80,1/4,1/4,3/8,3,1,1/8,,1/8,1,,1,67,,969
972,81,80,1/4,1/4,3/8,2,1,1/8,,1/8,1,,7,73,,966
973,82,81,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,981
974,82,81,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,978
975,82,81,0,0,3/8,1,1,1/8,,1/8,1,,7,73,,973
976,82,81,0,0,3/8,2,1,1/8,,1/8,1,,7,73,,975
977,82,81,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-3,51,,982
978,82,81,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,979
979,82,81,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,976
980,82,81,1/8,1/8,3/8,1,1,1/4,,1/4,1,,7,73,,974
981,82,81,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-3,51,,983
982,82,81,1/4,1/4,3/8,3,1,1/8,,1/8,1,,1,67,,980
983,82,81,1/4,1/4,3/8,2,1,1/8,,1/8,1,,7,73,,977
984,83,82,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,994
985,83,82,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,991
986,83,82,0,0,3/8,1,1,1/8,,1/8,1,,7,73,,984
987,83,82,0,0,3/8,2,1,1/8,,1/8,1,,7,73,,988
988,83,82,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-3,51,,995
989,83,82,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,992
990,83,82,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,989
991,83,82,1/8,1/8,3/8,1,1,3/16,,1/8,3/2,,7,73,,985
992,83,82,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-3,51,,996
993,83,82,1/4,1/4,3/8,3,1,1/8,,1/8,1,,1,67,,993
994,83,82,1/4,1/4,3/8,2,1,1/8,,1/8,1,,7,73,,990
995,83,82,5/16,5/16,3/8,1,1,1/32,,1/32,1,,5,71,,986
996,83,82,11/32,11/32,3/8,1,1,1/32,,1/32,1,,7,73,,987
997,84,83,0,0,3/8,5,1,1/8,,1/8,1,,2,50,,1010
998,84,83,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,1005
999,84,83,0,0,3/8,1,1,3/32,,1/16,3/2,,2,74,,997
1000,84,83,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,1000
1001,84,83,3/32,3/32,3/8,1,1,1/32,,1/32,1,,7,73,,998
1002,84,83,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,38,,1011
1003,84,83,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,6,66,,1006
1004,84,83,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,2,74,,1001
1005,84,83,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,999
1006,84,83,7/32,7/32,3/8,3,1,1/32,,1/32,1,,4,64,,1007
1007,84,83,7/32,7/32,3/8,2,1,1/32,,1/32,1,,7,73,,1002
1008,84,83,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,6,66,,1008
1009,84,83,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,2,74,,1003
1010,84,83,11/32,11/32,3/8,3,1,1/32,,1/32,1,,1,67,,1009
1011,84,83,11/32,11/32,3/8,2,1,1/32,,1/32,1,,4,76,,1004
1012,85,84,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,1017
1013,85,84,0,0,3/8,2,1,1/8,,1/8,1,,6,78,,1014
1014,85,84,1/8,1/8,3/8,5,1,1/8,,1/8,1,,5,59,,1020
1015,85,84,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,1012
1016,85,84,1/8,1/8,3/8,3,1,1/8,,1/8,1,,2,74,,1018
1017,85,84,1/8,1/8,3/8,2,1,1/8,,1/8,1,,1,79,,1015
1018,85,84,1/4,1/4,3/8,5,1,1/8,,1/8,1,,5,59,,1021
1019,85,84,1/4,1/4,3/8,3,1,1/8,,1/8,1,,2,74,,1019
1020,85,84,1/4,1/4,3/8,1,1,1/8,,1/8,1,,1,79,,1013
1021,85,84,1/4,1/4,3/8,2,1,1/8,,1/8,1,,1,79,,1016
1022,86,85,0,0,3/8,5,1,1/8,,1/8,1,,0,60,,1036
1023,86,85,0,0,3/8,1,1,1/16,,1/16,1,,-3,75,,1022
1024,86,85,0,0,3/8,3,1,1/8,,1/8,1,,-3,75,,1031
1025,86,85,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,1026
1026,86,85,1/16,1/16,3/8,1,1,1/16,,1/16,1,,5,71,,1023
1027,86,85,1/8,1/8,3/8,5,1,1/8,,1/8,1,,0,48,,1037
1028,86,85,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,0,72,,1032
1029,86,85,1/8,1/8,3/8,1,1,1/8,,1/8,1,,0,72,,1024
1030,86,85,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,-3,75,,1027
1031,86,85,7/32,7/32,3/8,3,1,1/32,,1/32,1,,5,71,,1033
1032,86,85,7/32,7/32,3/8,2,1,1/32,,1/32,1,,2,74,,1028
1033,86,85,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,0,72,,1034
1034,86,85,1/4,1/4,3/8,1,1,1/8,,1/8,1,1,0,72,,1025
1035,86,85,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,-3,75,,1029
1036,86,85,11/32,11/32,3/8,3,1,1/32,,1/32,1,,2,74,,1035
1037,86,85,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-1,77,,1030
1038,87,86,0,0,3/8,1,1,1/8,,1/8,1,-1,0,72,,1038
1039,87,86,0,0,3/8,3,1,1/8,,1/8,1,,-3,75,,1044
1040,87,86,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,1041
1041,87,86,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,57,,1047
1042,87,86,1/8,1/8,3/8,1,1,1/8,,1/8,1,,0,72,,1039
1043,87,86,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,1045
1044,87,86,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,1042
1045,87,86,1/4,1/4,3/8,5,1,1/8,,1/8,1,,3,57,,1048
1046,87,86,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,1046
1047,87,86,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-1,77,,1040
1048,87,86,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-1,77,,1043
1049,88,87,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,1063
1050,88,87,0,0,3/8,1,1,1/16,,1/16,1,,2,74,,1049
1051,88,87,0,0,3/8,3,1,1/8,,1/8,1,,2,74,,1058
1052,88,87,0,0,3/8,2,1,1/8,,1/8,1,,-1,77,,1053
1053,88,87,1/16,1/16,3/8,1,1,1/16,,1/16,1,,3,69,,1050
1054,88,87,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,46,,1064
1055,88,87,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,-2,70,,1059
1056,88,87,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-2,70,,1051
1057,88,87,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,2,74,,1054
1058,88,87,7/32,7/32,3/8,3,1,1/32,,1/32,1,,3,69,,1060
1059,88,87,7/32,7/32,3/8,2,1,1/32,,1/32,1,,0,72,,1055
1060,88,87,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,-2,70,,1061
1061,88,87,1/4,1/4,3/8,1,1,1/8,,1/8,1,1,-2,70,,1052
1062,88,87,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,2,74,,1056
1063,88,87,11/32,11/32,3/8,3,1,1/32,,1/32,1,,0,72,,1062
1064,88,87,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-3,75,,1057
1065,89,88,0,0,3/8,1,1,1/8,,1/8,1,-1,-2,70,,1065
1066,89,88,0,0,3/8,3,1,1/8,,1/8,1,,2,74,,1071
1067,89,88,0,0,3/8,2,1,1/8,,1/8,1,,-1,77,,1068
1068,89,88,1/8,1/8,3/8,5,1,1/8,,1/8,1,,1,55,,1074
1069,89,88,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-2,70,,1066
1070,89,88,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,1072
1071,89,88,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,1069
1072,89,88,1/4,1/4,3/8,5,1,1/8,,1/8,1,,1,55,,1075
1073,89,88,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,1073
1074,89,88,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,1070
1075,89,88,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,1067
1076,90,89,0,0,3/8,5,1,1/8,,1/8,1,,3,57,,1090
1077,90,89,0,0,3/8,1,1,1/16,,1/16,1,,0,72,,1076
1078,90,89,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,1085
1079,90,89,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,1080
1080,90,89,1/16,1/16,3/8,1,1,1/16,,1/16,1,,1,67,,1077
1081,90,89,1/8,1/8,3/8,1,1,0,appoggiatura,1/8,1,,1,67,,1078
1082,90,89,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,45,,1091
1083,90,89,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,3,69,,1086
1084,90,89,1/8,1/8,3/8,1,1,1/4,,1/4,1,,3,69,,1079
1085,90,89,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,1081
1086,90,89,7/32,7/32,3/8,3,1,1/32,,1/32,1,,1,67,,1087
1087,90,89,7/32,7/32,3/8,2,1,1/32,,1/32,1,,-2,70,,1082
1088,90,89,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,3,69,,1088
1089,90,89,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,1083
1090,90,89,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-2,70,,1089
1091,90,89,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,1084
1092,91,90,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,1097
1093,91,90,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,1094
1094,91,90,1/8,1/8,3/8,5,1,1/8,,1/8,1,,6,54,,1100
1095,91,90,1/8,1/8,3/8,3,1,1/8,,1/8,1,,3,69,,1098
1096,91,90,1/8,1/8,3/8,1,1,1/8,,1/8,1,,2,74,,1092
1097,91,90,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,1095
1098,91,90,1/4,1/4,3/8,5,1,1/8,,1/8,1,,2,50,,1101
1099,91,90,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,1099
1100,91,90,1/4,1/4,3/8,1,1,1/8,,1/8,1,,6,78,,1093
1101,91,90,1/4,1/4,3/8,2,1,1/8,,1/8,1,,6,78,,1096
1102,92,91,0,0,3/8,5,1,1/4,,1/4,1,,-3,51,,1110
1103,92,91,0,0,3/8,3,1,1/4,,1/4,1,,1,67,,1108
1104,92,91,0,0,3/8,1,1,1/8,,1/8,1,,1,79,,1102
1105,92,91,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,1105
1106,92,91,1/8,1/8,3/8,1,1,1/8,,1/8,1,,7,73,,1103
1107,92,91,1/8,1/8,3/8,2,1,1/8,,1/8,1,,7,73,,1106
1108,92,91,1/4,1/4,3/8,5,1,1/8,,1/8,1,,2,50,,1111
1109,92,91,1/4,1/4,3/8,3,1,1/8,,1/8,1,,6,66,,1109
1110,92,91,1/4,1/4,3/8,1,1,1/8,,1/8,1,,2,74,,1104
1111,92,91,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,1107
1112,93,92,0,0,3/8,5,1,1/8,,1/8,1,,1,55,,1119
1113,93,92,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,1116
1114,93,92,0,0,3/8,1,1,1/8,,1/8,1,,-2,70,,1112
1115,93,92,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,1114
1116,93,92,1/8,1/8,3/8,5,1,1/4,,1/4,1,,2,50,,1120
1117,93,92,1/8,1/8,3/8,3,1,1/8,,1/8,1,,1,67,,1117
1118,93,92,1/8,1/8,3/8,1,1,1/4,,1/4,1,,3,69,,1113
1119,93,92,1/8,1/8,3/8,2,1,1/4,,1/4,1,,3,69,,1115
1120,93,92,1/4,1/4,3/8,3,1,1/8,,1/8,1,,6,66,,1118
1121,94,93,0,0,3/8,5,1,1/8,,1/8,1,,1,43,,1124
1122,94,93,0,0,3/8,1,1,1/4,,1/4,1,,1,67,,1121
1123,94,93,0,0,3/8,2,1,1/4,,1/4,1,,1,67,,1122
1124,94,93,0,0,3/8,3,1,1/4,,1/4,1,,1,67,,1123
1125,94,93,1/8,1/8,3/8,5,1,3/32,,1/16,3/2,,1,55,,1125
1126,94,93,7/32,7/32,3/8,5,1,1/32,,1/32,1,,-1,53,,1126
1127,94,93,1/4,1/4,3/8,5,1,3/32,,1/16,3/2,,1,55,,1127
1128,94,93,11/32,11/32,3/8,5,1,1/32,,1/32,1,,3,57,,1128
1129,95,94,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,1135
1130,95,94,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,62,,1136
1131,95,94,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-1,65,,1133
1132,95,94,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,1131
1133,95,94,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,1129
1134,95,94,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-2,58,,1137
1135,95,94,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-1,65,,1134
1136,95,94,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,1132
1137,95,94,1/4,1/4,3/8,2,1,1/8,,1/8,1,,2,74,,1130
1138,96,95,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,1149
1139,96,95,0,0,3/8,4,1,1/4,,1/4,1,,-1,65,,1148
1140,96,95,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,1143
1141,96,95,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,1138
1142,96,95,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,41,,1150
1143,96,95,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,3,69,,1144
1144,96,95,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,1139
1145,96,95,7/32,7/32,3/8,3,1,1/32,,1/32,1,,1,67,,1145
1146,96,95,7/32,7/32,3/8,2,1,1/32,,1/32,1,,-2,70,,1140
1147,96,95,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,3,69,,1146
1148,96,95,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,1141
1149,96,95,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-2,70,,1147
1150,96,95,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,1142
1151,97,96,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,1163
1152,97,96,0,0,3/8,4,1,1/8,,1/8,1,,3,69,,1161
1153,97,96,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,1156
1154,97,96,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,1151
