Opera,Label,Aria,Basic_passion,PassionA,PassionB,Value,Value2,Time
Artaserse,Art22M,Cosi_stupisce,wonder,boldness,,Positive,,Future
Artaserse,Art23M,Perche_tarda,sadness,despair,,Negative,,Future
Artaserse,Art24M,Londa_dal,desire,hope,,Positive,,Future
Artaserse,Art25M,Nuvoletta_opposta,wonder,esteem,,Positive,,Future
Artaserse,Art26M,Ardito_ti,hatred,anger,,Negative,,Future
Artaserse,Art27M,Figlio_se,sadness,"despair,repentance",,Negative,,Future
Artaserse,Art28M,Mi_credi,hatred,"aversion,sadness",,Negative,,Present
Artaserse,Art29M,Non_e,sadness,repentance,,Negative,,Past
Artaserse,Art30M,Tu_vuoi,sadness,"sadness,love",,Negative,,Past
Demofoonte,Dem01M,O_piu,desire,boldness,love,Positive,,Future
Demofoonte,Dem02M,In_te,desire,hope,-,Positive,,Future
Demofoonte,Dem03M,Per_lei,wonder,pride,boldness,Positive,,Present
Demofoonte,Dem04M,Sperai_vicino,desire,fear,-,Negative,,Future
Alessandro-Demofoonte,Ale73M-Dem04M,Sperai_vicino,desire,fear,-,Negative,,Future
Demofoonte,Dem05M,Tintendo_ingrata,hatred,anger,pity,Negative,,Future
Demofoonte,Dem06M,Non_curo,wonder,contempt,-,Negative,,Present
Demofoonte,Dem07M,Il_suo,love,love,veneration,Positive,,Present
Demofoonte,Dem08M,Padre_perdona,sadness,remorse,fear,Negative,,Past
Demofoonte,Dem09M,Se_ardire,desire,hope,fear,Negative,,Future
Demofoonte,Dem10M,Tu_sai,wonder,"pride,abjectness",-,Negative,,Present
Demofoonte,Dem11M,Prudente_mi,hatred,anger,despair,Negative,,Future
Demofoonte,Dem12M,Se_tronca,wonder,"pride,abjectness",-,Negative,,Present
Demofoonte,Dem13M,E_soccorso,desire,hope,esteem,Positive,,Present
Demofoonte,Dem14M,Se_tutti,sadness,pity,-,Negative,,Past
Demofoonte,Dem15M,No_non,love,love,hope,Positive,,Future
Demofoonte,Dem16M,Felice_eta,sadness,regret,-,Negative,,Past
Demofoonte,Dem17M,Perfidi_gia,hatred,anger,-,Negative,,Present
Demofoonte,Dem18M,La_destra,sadness,sadness,love,Negative,,Future
Demofoonte,Dem19M,Non_odi,wonder,contempt,astonishment,Negative,,Future
Demofoonte,Dem20M,Nel_tuo,love,devotion,shame,Positive,,Present
Demofoonte,Dem21M,Ah_che,wonder,astonishment,-,Negative,,Present
Demofoonte,Dem22M,Misero_pargoletto,sadness,pity,repulsion,Negative,,Past
Demofoonte,Dem23M,Odo_il,sadness,fear,-,Negative,,Present
Demofoonte,Dem24M,Che_mai,wonder,astonishment,-,Negative,,Present
Demofoonte,Dem25M,Non_dura,desire,hope,-,Positive,,Future
Demofoonte,Dem50M-Oli16M,Temo_in,sadness,"shame,repentance,anger",,Negative,,Past
Didone,Did01M,Dovrei_ma,desire,irresolution,,Negative,+-,Future
Didone,Did02M,Diro_che,sadness,"pity,generosity",,Negative,+-,Future
Didone,Did03M,Son_regina,wonder,pride,boldness,Positive,++,Present
Didone,Did04M,Tu_mi_scorgi,wonder,abjectness,,Negative,+-,Future
Didone,Did05M,Fra_lo,wonder,"pride,abjectness",,Negative,--,Present
Didone,Did06M,Se_dalle,wonder,esteem,,Positive,-+,Future
Didone,Did07M,Quando_saprai,wonder,pride,contempt,Negative,+-,Future
Didone,Did08M,Ogni_amator,love,love,,Positive,-+,Present
Didone,Did09M,Son_quel,hatred,anger,,Negative,+-,Present
Didone,Did10M,Infelice_e,sadness,"sadness,humility",,Negative,+-,Future
Didone,Did11M,Tu_mi_disarmi,hatred,anger,shame,Negative,--,Future
Didone,Did12M,Non_ha,sadness,pity,anger,Negative,+-,Future
Didone,Did13M,Se_resto,desire,irresolution,,Negative,+-,Future
Didone,Did14M,Pensa_che,desire,abjectness,veneration,Negative,+-,Future
Didone,Did15M,Leon_che,desire,contempt,pride,Negative,+-,Future
Didone,Did16M,Ardi_per,sadness,pity,,Negative,+-,Future
Didone,Did17M,L_augelletto,desire,hope,,Positive,-+,Future
Didone,Did18M,Ah_non_lasciarmi,sadness,sadness,,Negative,--,Future
Didone,Did19M,Vedi_nel,wonder,generosity,contempt,Positive,-+,Future
Didone,Did20M,Fosca_nube,desire,boldness,,Positive,-+,Future
Didone,Did21M,Tacero_se,sadness,sadness,anger,Negative,+-,Future
Didone,Did22M,Non_cede,desire,boldness,,Negative,-+,Future
Didone,Did23M,Veggio_la,love,pity,,Negative,+-,Future
Didone,Did24M,Chiamami_pur,hatred,anger,,Negative,--,Present
Didone,Did25M,Va_lusingando,sadness,pity,,Negative,+-,Future
Didone,Did26M,Vivi_superbo,wonder,contempt,pride,Negative,--,Future
Didone,DId27M,Su_la,hatred,anger,,Negative,--,Future
Didone,Did28M,Quando_londa,sadness,repentance,shame,Negative,+-,Past
Didone,Did29M,A_trionfar,joy,glory,,Positive,-+,Future
Didone,Did30M,Nel_duol,desire,despair,,Negative,+-,Future
Didone,Did31M,Va_crescendo,desire,despair,,Negative,+-,Future
Didone,Did32M,Gia_si,sadness,pity,disdain,Negative,+-,Future
Didone,Did33M,Cadra_fra,wonder,contempt,,Negative,+-,Future
Didone,Did34M,Vado_ma,sadness,despair,,Negative,+-,Future
