AriaId,Mode,Key,KeySignatureType,NumberOfParts,FamilyInstrumentation,Instrumentation,Tempo,TempoNumeric,TempoGrouped1,TempoGrouped2,TimeSignature,TimeSignatureGrouped,PartVoice_SyllabicRatio,Score_Density,Score_SoundingDensity,Score_MeasuresMean,Score_SoundingMeasuresMean,Label_Sentiment,Label_BasicPassion,Label_Passions,Label_Time,PartVoice_HighestNoteIndex,PartVoice_LowestNoteIndex,PartVoice_Density,PartVoice_SoundingDensity,PartVoice_IntervallicMean,PartVoice_IntervallicStd,PartVoice_IntervallicSkewness,PartVoice_IntervallicKurtosis,PartVoice_AbsoluteIntervallicMean,PartVoice_AbsoluteIntervallicStd,PartVoice_AbsoluteIntervallicSkewness,PartVoice_AbsoluteIntervallicKurtosis,PartVoice_IntervalsDiminishedAll,PartVoice_IntervalsMinorAll,PartVoice_IntervalsPerfectAll,PartVoice_IntervalsMajorAll,PartVoice_IntervalsAugmentedAll,PartVoice_LeapsAll,PartVoice_StepwiseMotionAll,PartVoice_RepeatedNotes,PartVnI_HighestNoteIndex,PartVnI_LowestNoteIndex,PartVnI_Density,PartVnI_SoundingDensity,PartVnI_IntervallicMean,PartVnI_IntervallicStd,PartVnI_IntervallicSkewness,PartVnI_IntervallicKurtosis,PartVnI_AbsoluteIntervallicMean,PartVnI_AbsoluteIntervallicStd,PartVnI_AbsoluteIntervallicSkewness,PartVnI_AbsoluteIntervallicKurtosis,PartVnI_IntervalsDiminishedAll,PartVnI_IntervalsMinorAll,PartVnI_IntervalsPerfectAll,PartVnI_IntervalsMajorAll,PartVnI_IntervalsAugmentedAll,PartVnI_LeapsAll,PartVnI_StepwiseMotionAll,PartVnI_RepeatedNotes,PartBs_HighestNoteIndex,PartBs_LowestNoteIndex,PartBs_Density,PartBs_SoundingDensity,PartBs_IntervallicMean,PartBs_IntervallicStd,PartBs_IntervallicSkewness,PartBs_IntervallicKurtosis,PartBs_AbsoluteIntervallicMean,PartBs_AbsoluteIntervallicStd,PartBs_AbsoluteIntervallicSkewness,PartBs_AbsoluteIntervallicKurtosis,PartBs_IntervalsDiminishedAll,PartBs_IntervalsMinorAll,PartBs_IntervalsPerfectAll,PartBs_IntervalsMajorAll,PartBs_IntervalsAugmentedAll,PartBs_LeapsAll,PartBs_StepwiseMotionAll,PartBs_RepeatedNotes
0523,major,E,s,5,str,"vn,va,bs",Allegretto,70.0,Allegretto,Fast,4/4,simple duple,3.1779661016949152,1.9764285714285716,2.096212121212121,70.0,66.0,Positive,love,"love,veneration",Present,83.0,64.0,1.3392857142857142,1.875,-0.018041237113402,3.2008048532969675,1.1487384233517597,3.0442222132552432,2.332474226804124,2.188831661700295,2.2677458757067908,6.715772843616135,0.0077319587628865,0.3556701030927835,0.1881443298969072,0.4432989690721649,0.0051546391752577,0.2757731958762887,0.6030927835051546,0.1211340206185567,83,63,2.5464285714285717,2.5464285714285717,-0.0068681318681318,3.161182561129253,1.1741424088634496,4.239420164448975,2.083791208791209,2.375913271526408,2.103593527643172,7.0553894140165205,0.0027472527472527,0.2568681318681318,0.3873626373626374,0.3489010989010989,0.0041208791208791,0.287087912087912,0.3997252747252747,0.3131868131868132,61,40,1.7535714285714286,1.7535714285714286,0.010204081632653,4.224514342579292,-0.1263702804346702,4.6715700479738285,2.0795918367346937,3.67601408969869,2.063756514261515,3.676950107864376,0.0,0.0632653061224489,0.8122448979591836,0.1224489795918367,0.0020408163265306,0.2530612244897959,0.1326530612244898,0.6142857142857143
0524,major,G,s,5,str,"vn,va,bs",Andantino affettuoso,70.0,Andantino,Moderate,4/4,simple duple,1.6878612716763006,1.8275,1.845959595959596,40.0,39.6,Negative,sadness,"despair,sadness",Present,83.0,61.0,1.825,1.9210526315789476,-0.0238095238095238,3.5482213653875863,1.456431732004987,3.1395941911400893,2.445578231292517,2.566939487687511,2.160389378855015,4.730858934111073,0.0,0.3469387755102041,0.2142857142857142,0.4387755102040816,0.0,0.2619047619047619,0.5952380952380952,0.1428571428571428,84,62,2.35625,2.35625,0.0185185185185185,3.722064959221442,0.550673000595133,2.735415574564583,2.4788359788359786,2.773659108174121,1.8020122722831529,3.738297976528615,0.0026455026455026,0.3095238095238095,0.373015873015873,0.3121693121693121,0.0026455026455026,0.3412698412698413,0.3994708994708995,0.2592592592592592,57,38,1.36875,1.36875,-0.0229357798165137,6.057666552425356,-0.400764566446726,0.2826908666148564,4.270642201834862,4.286422734889074,0.8559978086355942,-0.2784606770613642,0.0045871559633027,0.1055045871559633,0.7247706422018348,0.1559633027522936,0.0091743119266055,0.5458715596330275,0.1697247706422018,0.2844036697247706
0525,major,C,n,6,"ww,str","ob,vn,va,bs",Andante affettuoso,70.0,Andante,Moderate,4/4,simple duple,4.397590361445783,1.0801204819277108,1.1921542553191489,83.0,75.2,Negative,sadness,"despair,sadness",Future,83.0,62.0,1.0993975903614457,1.6294642857142858,0.0132275132275132,2.57561193183911,1.4748779537860883,2.910066775410475,1.9232804232804237,1.7103020133465068,2.330126252018123,7.843155287132287,0.0105820105820105,0.3333333333333333,0.1825396825396825,0.4735449735449735,0.0,0.1719576719576719,0.6798941798941799,0.1481481481481481,84,60,1.2198795180722892,1.3149350649350648,0.0171990171990172,4.170291246541931,0.9365158879599922,5.344554833401311,2.4643734643734643,3.362072363794784,2.405840557019374,6.205965760424165,0.0,0.2653562653562653,0.3882063882063882,0.3464373464373464,0.0,0.2457002457002457,0.4594594594594595,0.2948402948402948,60,38,0.9307228915662652,0.9307228915662652,-0.0162337662337662,4.66427228323412,-0.5260077623921525,1.4920078686402611,2.925324675324675,3.629090960168147,1.2414624693891647,0.9316623630284392,0.0032467532467532,0.0714285714285714,0.7954545454545454,0.1298701298701298,0.0,0.4123376623376623,0.1298701298701298,0.4577922077922078
0526,major,C,n,9,"ww,br,str","ob,hn,vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,4.082474226804123,1.7275641025641026,1.825880758807588,78.0,73.8,Negative,hatred,"pride,abjectness",Present,84.0,60.0,1.2692307692307692,1.736842105263158,0.0,3.4498869404257158,0.5492859423738166,2.0698803494801634,2.612745098039216,2.2491132434894854,2.152632217565136,5.103533875036826,0.0024509803921568,0.284313725490196,0.1642156862745098,0.5416666666666666,0.0073529411764705,0.2745098039215686,0.6617647058823529,0.0637254901960784,84,60,2.1153846153846154,2.1153846153846154,0.010590015128593,4.028483034647857,0.276850267437025,2.0440899640137964,2.664145234493192,3.0199940402453453,1.5283314237443264,2.299135751971953,0.0,0.2556732223903177,0.4447806354009077,0.2965204236006051,0.0030257186081694,0.3872919818456883,0.2995461422087745,0.313161875945537,62,36,1.6153846153846154,1.6153846153846154,-0.0099403578528827,3.970245483546701,-0.3235619253175429,4.028870271692147,2.0974155069582503,3.369723007567118,1.9334256901300768,3.252984383170136,0.0019880715705765,0.1113320079522862,0.7375745526838966,0.1411530815109344,0.0079522862823061,0.2624254473161034,0.1968190854870775,0.5407554671968191
0527,major,F,b,9,"ww,br,str","ob,hn,vn,va,bs",Prestissimo,60.0,Prestissimo,Fast,4/4,simple duple,1.068181818181818,2.1683673469387754,2.2606382978723403,49.0,47.0,Negative,hatred,"anger,despair",Future,81.0,62.0,0.7193877551020408,0.903846153846154,-0.05,4.376728846488375,0.3923884055361856,0.5555228112454236,3.0785714285714287,3.100401127779216,1.0179881931903385,0.0491957387851416,0.0,0.1928571428571428,0.4142857142857143,0.3928571428571428,0.0,0.3928571428571428,0.35,0.2571428571428571,86,60,3.153061224489796,3.153061224489796,-0.019448946515397,6.520418306416567,-0.0712179581031452,-0.708942175299164,4.881685575364668,4.318181707399483,0.2373492961639974,-1.4780590435912493,0.0081037277147487,0.2803889789303079,0.4619124797406807,0.2447325769854132,0.0048622366288492,0.5753646677471637,0.1458670988654781,0.2787682333873582,62,41,1.7857142857142858,1.7857142857142858,-0.0143266475644699,2.9169187247878114,-1.0613762398607134,6.923034235142524,1.320916905444126,2.5997664056151484,2.43038662655354,6.191890059862299,0.0057306590257879,0.0659025787965616,0.8223495702005731,0.1060171919770773,0.0,0.2063037249283667,0.0945558739255014,0.6991404011461319
0528,major,Eb,b,9,"ww,br,str","ob,hn,vn,va,bs",Maestoso,75.0,Maestoso,Moderate,3/4,simple triple,2.4682539682539684,1.537190082644628,1.646017699115044,121.0,113.0,Positive,wonder,esteem,Present,70.0,46.0,0.8567493112947658,1.279835390946502,0.015432098765432,3.638001543522112,1.519245690833558,5.565399973052285,2.503086419753086,2.636371529357294,2.7520854115915765,11.44093981613354,0.0,0.3271604938271605,0.2839506172839506,0.3796296296296296,0.0092592592592592,0.3333333333333333,0.4938271604938271,0.1728395061728395,87,58,1.928374655647383,1.928374655647383,0.0,3.8211802417206537,0.5716486432481314,3.1173489688753904,2.45042492917847,2.930583383580007,1.7161529225056171,4.247173908116096,0.0113314447592068,0.2365439093484419,0.4957507082152974,0.2535410764872521,0.0028328611898017,0.3824362606232294,0.2407932011331444,0.376770538243626,60,39,1.2506887052341598,1.2506887052341598,0.0,3.1200181528856983,-0.3132812182576506,6.940542148760331,1.4613686534216337,2.755755823370744,2.523838059345137,6.203457314468222,0.0022075055187637,0.1236203090507726,0.7108167770419426,0.1567328918322295,0.0066225165562913,0.1721854304635761,0.2229580573951435,0.6048565121412803
0529,major,G,s,5,str,"vn,va,bs",Andantino,76.0,Andantino,Moderate,4/4,simple duple,3.2992125984251968,1.1444954128440368,1.2111650485436891,109.0,103.0,Positive,desire,"hope,love",Future,83.0,62.0,0.9610091743119266,1.3259493670886076,-0.0164705882352941,2.9351821268274065,0.6369718416355933,1.193331613776957,2.237647058823529,1.8964948098579075,1.638102819560579,2.918932332773416,0.0023529411764705,0.308235294117647,0.2117647058823529,0.4729411764705882,0.0047058823529411,0.2447058823529412,0.6235294117647059,0.1317647058823529,83,59,1.4793577981651376,1.4793577981651376,-0.0076219512195121,3.2939829229301685,1.699850083194744,9.175301621654132,2.0503048780487805,2.5768612006403218,3.1835181850567555,15.120874147801288,0.0015243902439024,0.274390243902439,0.3506097560975609,0.3673780487804878,0.0060975609756097,0.2423780487804878,0.4649390243902439,0.2926829268292683,62,38,0.9541284403669724,0.9541284403669724,-0.0120481927710843,4.857620080647868,-0.6437151899162233,1.89993256233297,2.908433734939759,3.888084262424034,1.4237603494761686,1.0086021845008126,0.0072289156626506,0.1228915662650602,0.6746987951807228,0.1879518072289156,0.0072289156626506,0.3879518072289156,0.1686746987951807,0.4433734939759036
0530,major,C,n,9,"ww,br,str","ob,hn,vn,va,bs",Allegro assai,90.0,Allegro,Fast,4/4,simple duple,1.2061855670103092,2.110897435897436,2.189494680851064,78.0,75.2,Negative,hatred,"anger,pride",Present,69.0,48.0,0.75,0.9140625,0.0,3.926040384846834,0.0471113588431664,1.660664684773959,2.815450643776824,2.7299933510737557,1.6491375617579291,2.56749763085604,0.0085836909871244,0.2746781115879828,0.3004291845493562,0.4163090128755364,0.0,0.3433476394849785,0.5150214592274678,0.1416309012875536,86,55,2.730769230769231,2.730769230769231,-0.0058754406580493,3.703253040995604,0.4295093817464618,6.515007832207024,1.808460634547591,3.231058665229466,2.3633002500490057,6.140525013131013,0.0,0.1151586368977673,0.7320799059929495,0.1527614571092831,0.0,0.2573443008225617,0.1233842538190364,0.6192714453584018,60,43,1.7980769230769231,1.7980769230769231,0.0125,3.030233021498447,0.979181977926691,7.371472016261087,1.269642857142857,2.7509256625765506,2.562185597974725,6.23334870665485,0.0035714285714285,0.0660714285714285,0.8392857142857143,0.0892857142857142,0.0017857142857142,0.175,0.0928571428571428,0.7321428571428571
0531,major,G,s,6,str,"vn,va,bs",Andantino affettuoso,70.0,Andantino,Moderate,4/4,simple duple,2.223021582733813,2.0199275362318843,2.2123015873015874,46.0,42.0,Negative,sadness,"sadness,love",Future,81.0,66.0,1.6793478260869563,2.2071428571428573,-0.0220820189274447,2.3672645017191694,1.4527293972709234,3.469090002160139,1.7634069400630914,1.5763837808040475,2.4083922797609665,9.724290484616764,0.0063091482649842,0.2996845425867508,0.2271293375394321,0.4668769716088328,0.0,0.1356466876971608,0.6782334384858044,0.1861198738170347,84,62,2.5543478260869565,2.611111111111111,-0.0105042016806722,3.0864551218071643,0.2756427219785032,4.472635866956389,1.8676470588235292,2.455782334219589,2.16539924801633,5.227801648442576,0.0021008403361344,0.245798319327731,0.4264705882352941,0.3235294117647059,0.0021008403361344,0.2058823529411764,0.4243697478991596,0.3697478991596639,57,38,1.8315217391304348,1.8722222222222225,-0.0148809523809523,4.94233179459604,-0.3799093045010654,1.938090761920269,2.836309523809524,4.044527175217544,1.4121168294560738,0.8512544115740437,0.0,0.0892857142857142,0.7738095238095238,0.1220238095238095,0.0148809523809523,0.3482142857142857,0.1517857142857142,0.5
0532,major,G,s,5,str,"vn,va,bs",Allegretto,100.0,Allegretto,Fast,2/4,simple duple,2.407142857142857,1.9360824742268044,2.0457516339869284,97.0,91.8,Negative,wonder,confusion,Future,79.0,62.0,1.7371134020618555,2.308219178082192,0.014792899408284,3.426604774903515,1.0545579431562124,1.3123684671921634,2.5828402366863905,2.2474386828462425,1.6973768104621083,2.8855711417061727,0.0118343195266272,0.2781065088757396,0.1952662721893491,0.5118343195266272,0.0029585798816568,0.2958579881656805,0.6035502958579881,0.1005917159763313,86,62,2.3969072164948453,2.3969072164948453,-0.025531914893617,3.951112125705383,1.6162624621709802,8.490828794717233,2.480851063829787,3.0731409723917475,3.277244770752353,13.345499195354702,0.0042553191489361,0.2468085106382978,0.2680851063829787,0.4787234042553192,0.002127659574468,0.2191489361702127,0.6127659574468085,0.1680851063829787,62,38,1.6237113402061856,1.640625,-0.0382165605095541,5.618756073400645,-0.3245162277987762,0.5617529171345548,3.917197452229299,4.022241333817443,0.9885186496841536,0.1264592450652553,0.0031847133757961,0.0923566878980891,0.6910828025477707,0.2038216560509554,0.0095541401273885,0.5127388535031847,0.197452229299363,0.2898089171974522
