,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
94,34,34,33,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
95,34,34,33,3/8,3/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
96,34,34,33,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
97,35,35,34,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
98,35,35,34,1/2,1/2,4/4,1,1,viio6,,G,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
99,35,35,34,3/4,3/4,4/4,1,1,.It6,,G,V,,It6,It,vii,o,6,b3,V,,It,False,False,"(-4, 0, 6)",(),6,-4
100,36,36,35,0,0,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
101,37,37,36,0,0,4/4,1,1,V7/IV,,G,V,,V7/IV,,V,,7,,IV,,Mm7,False,False,"(0, 4, 1, -2)",(),0,0
102,37,37,36,1/4,1/4,4/4,1,1,IV64,,G,V,,IV64,,IV,,64,,,,M,False,False,"(0, -1, 3)",(),-1,0
103,37,37,36,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
104,37,37,36,7/8,7/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
105,38,38,37,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
106,38,38,37,1/4,1/4,4/4,1,1,IV6,,G,V,,IV6,,IV,,6,,,,M,False,False,"(3, 0, -1)",(),-1,3
107,39,39,38,0,0,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
108,39,39,38,1/2,1/2,4/4,1,1,I.I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
109,39,39,38,3/4,3/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
110,40,40,39,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
111,40,40,39,1/2,1/2,4/4,1,1,viio,,G,I,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
112,41,41,40,0,0,4/4,1,1,iii,,G,I,,iii,,iii,,,,,,m,False,False,"(4, 1, 5)",(),4,4
113,41,41,40,1/2,1/2,4/4,1,1,vi,,G,I,,vi,,vi,,,,,,m,False,False,"(3, 0, 4)",(),3,3
114,42,42,41,0,0,4/4,1,1,ii,,G,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
115,42,42,41,1/2,1/2,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
116,43,43,42,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
117,43,43,42,1/2,1/2,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
118,44,44,43,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
119,44,44,43,1/2,1/2,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
120,44,44,43,3/4,3/4,4/4,1,1,viio6,,G,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
121,45,45,44,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
122,45,45,44,1/2,1/2,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
123,45,45,44,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
124,46,46,45,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
125,46,46,45,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
126,46,46,45,3/4,3/4,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
127,47,47,46,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
128,47,47,46,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
129,48,48,47,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
130,48,48,47,1/2,1/2,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
131,49,49,48,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
132,49,49,48,1/2,1/2,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
133,49,49,48,3/4,3/4,4/4,1,1,ii,,G,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
134,50,50,49,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
135,51,51,50,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
136,51,51,50,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
137,51,51,50,1/2,1/2,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
138,52,52,51,0,0,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
139,52,52,51,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
140,52,52,51,1/2,1/2,4/4,1,1,I}{,,G,I,,I,,I,,,,,}{,M,False,False,"(0, 4, 1)",(),0,0
141,53,53,52,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
142,53,53,52,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
143,54,54,53,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
144,54,54,53,1/4,1/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
145,54,54,53,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
146,54,54,53,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
147,55,55,54,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
148,56,56,55,1/4,1/4,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
