,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,offset_x,offset_y,offset,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
185,21,21,119,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
186,22,22,120,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
187,22,22,120,1/8,1/8,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
188,23,23,121,0,0,3/8,1,1,ii,,,,,Bb,V,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
189,23,23,121,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
190,24,24,122,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
191,24,24,122,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
192,24,24,122,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
193,25,25,123,0,0,3/8,1,1,I},,,,,Bb,V,,I,,I,,,,,},M,False,False,"(0, 4, 1)",(),0,0
194,25,25,123,1/8,1/8,3/8,1,1,{,,,,,Bb,V,,,,,,,,,{,,False,False,,,,
195,26,26,124,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
196,27,27,125,0,0,3/8,1,1,#viio7/ii,,,,,Bb,V,,#viio7/ii,,#vii,o,7,,ii,,o7,False,False,"(7, 4, 1, -2)",(),7,7
197,28,28,126,0,0,3/8,1,1,i/ii,,,,,Bb,V,,i/ii,,i,,,,ii,,m,False,False,"(2, -1, 3)",(),2,2
198,29,29,127,0,0,3/8,1,1,#viio7/ii,,,,,Bb,V,,#viio7/ii,,#vii,o,7,,ii,,o7,False,False,"(7, 4, 1, -2)",(),7,7
199,30,30,128,0,0,3/8,1,1,i/ii,,,,,Bb,V,,i/ii,,i,,,,ii,,m,False,False,"(2, -1, 3)",(),2,2
200,30,30,128,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
201,31,31,129,0,0,3/8,1,1,ii{,,,,,Bb,V,,ii,,ii,,,,,{,m,False,False,"(2, -1, 3)",(),2,2
202,32,32,130,1/4,1/4,3/8,1,1,iv6,,,,,Bb,V,,iv6,,iv,,6,,,,m,False,False,"(-4, 0, -1)",(),-1,-4
203,33,33,131,0,0,3/8,1,1,viio7,,,,,Bb,V,,viio7,,vii,o,7,,,,o7,False,False,"(5, 2, -1, -4)",(),5,5
204,34,34,132,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
