AriaId,EndOfThemeA
0207,107
0208,66
0209,81
0210,133
0211,37
0212,138
0213,97
0214,49
0215,86
0216,76
0217,56
0218,102
0219,143
0220,82
0221,122
0222,123
0223,93
0224,130
0225,93
0226,"16,5"
0227,76
0228,48
0229,92
0230,114
0231,119
0232,117
0233,44
0234,16
0235,123
0236,81
0237,75
0238,70
0239,63
0240,136
0241,217
0242,11
0243,99
0244,103
0245,60
0246,98
0247,67
0248,94
0249,"38,5"
0250,81
0251,75
0252,109
0253,71
0254,106
0255,109
0256,"59,5"
0257,45
0258,238
0259,134
0260,114
0261,106
0262,104
0263,"89,5"
0264,32
0265,109
0266,98
0267,68
0268,100
0269,36
0270,96
0271,47
0272,60
0273,0
0274,65
0275,88
0276,44
0277,87
0278,21
0279,72
0280,35
0281,83
0282,114
0283,91
0284,91
0285,44
0286,"51,0"
0287,83
0288,42
0289,83
0290,32
0291,121
0292,46
0293,117
0294,119
0295,19
0296,88
0297,32
0298,72
0299,112
0300,46
0301,48
0302,40
0303,22
0304,92
0305,84
0306,113
0307,51
0308,37
0309,66
0310,33
0311,90
0312,152
0313,72
0314,46
0315,32
0316,38
0317,33
0318,27
0319,108
0320,51
0321,40
0322,"41,5"
0323,22
0324,136
0325,27
0326,51
0327,105
0328,62
0329,23
0330,52
0331,82
0332,112
0333,120
0334,61
0335,"15,5"
0336,"61,5"
0337,72
0338,55
0339,147
0340,67
0341,141
0342,58
0343,22
0344,133
0345,73
0346,31
0347,73
0348,189
0349,71
0350,79
0351,123
0352,62
0353,47
0354,78
0355,21
0356,91
0357,97
0358,127
0359,37
0360,56
0361,87
0362,57
0363,94
0364,21
0365,41
0366,74
0367,49
0368,105
0369,92
0370,42
0371,60
0372,190
0373,22
0374,71
0375,"25,5"
0376,57
0377,9
0378,81
0379,62
0380,114
0381,"54,5"
0382,88
0383,"22,5"
0384,"35,5"
0385,57
0386,"34,5"
0387,50
0388,59
0389,"37,5"
0390,55
0391,70
0392,138
0393,31
0394,"49,5"
0395,"20,5"
0396,93
0397,88
0398,80
0399,"36,5"
0400,65
0401,26
0402,84
0403,38
0404,41
0405,98
0406,83
0407,59
0408,46
0409,57
0410,41
0411,"18,5"
0412,"29,5"
0413,86
0414,82
0415,148
0416,8
0417,70
0418,"45,5"
0419,99
0420,"39,5"
0421,57
0422,66
0423,98
0424,27
0425,48
0426,74
0427,25
0428,72
0429,25
0430,"56,5"
0431,93
0432,122
0433,98
0434,113
0435,97
0436,31
0437,62
0438,24
0439,37
0440,85
0441,40
0442,30
0443,75
0444,75
0445,83
0446,78
0447,34
0448,52
0449,25
0450,101
0451,83
0452,"51,5"
0453,181
0454,88
0455,95
0456,109
0457,119
0458,91
0459,104
0460,67
0461,96
0462,132
0463,62
0464,127
0465,71
0466,61
0467,57
0468,51
0469,99
0470,"49,5"
0471,96
0472,36
0473,74
0474,83
0475,84
0476,135
0477,99
0478,"51,5"
0479,"31,5"
0480,46
0481,57
0482,"46,5"
0483,37
0484,95
0485,97
0486,29
0487,67
0488,42
0489,63
0490,40
0491,37
0492,43
0493,125
0494,97
0495,80
0496,91
0497,"66,5"
0498,75
0499,76
0500,38
0501,"34,5"
0502,70
0503,30
0504,116
0505,47
0506,93
0507,89
0508,58
0509,139
0510,26
0511,24
0512,63
0513,"35,5"
0514,"56,5"
0515,92
0516,82
0517,117
0518,122
0519,90
0520,100
0521,14
0522,72
0523,71
0524,41
0525,84
0526,79
