AriaId,Character,Clef1,Clef2,Clef3
1190,Alessandro,C-4,,
1191,Alessandro,C-4,,
1192,Erissena,C-3,,
1193,Cleofide,C-1,,
1194,Cleofide,C-1,,
1195,Erissena,C-3,,
1196,Cleofide,C-1,,
1197,Poro,C-1,,
1198,Poro,C-1,,
1199,Alessandro,C-4,,
1200,Gandarte,C-1,,
1201,Poro,C-1,,
1202,Cleofide,C-1,,
1203,Poro,C-3,,
1204,Alessandro,C-4,,
1205,Erissena,C-1,,
1206,Timagene,C-4,,
1207,Dircea,C-1,,
1208,Demofoonte,C-4,,
1209,Cherinto,C-1,,
1210,Creusa,C-3,,
1211,Dircea,C-1,,
1212,Timante,C-1,,
1213,Timante,C-1,,
1214,Matusio,C-4,,
1215,Cherinto,C-1,,
1216,"Cleofide,Poro",C-1,C-1,
1217,Poro,C-1,,
1218,Cleofide,C-1,,
1219,Timagene,C-1,,
1220,Poro,C-1,,
1221,"Cleofide,Poro",C-1,C-1,
1222,Cleofide,C-1,,
1223,Gandarte,C-1,,
1224,Erissena,C-1,,
1225,Alessandro,C-4,,
1226,Demofoonte,C-4,,
1227,"Dircea,Timante",C-1,C-1,
1228,Adriasto,C-1,,
1229,Cherinto,C-1,,
1230,Demofoonte,C-4,,
1231,Dircea,C-1,,
1232,Creusa,C-1,,
1233,Poro,C-3,,
1234,Gandarte,C-1,,
1235,Cleofide,C-1,,
1236,Matusio,C-4,,
1237,Dircea,C-1,,
1238,Creusa,C-1,,
1239,Erissena,C-1,,
1240,Cherinto,C-1,,
1241,Timante,C-1,,
1242,Creusa,C-1,,
1243,Dircea,C-1,,
1244,Poro,C-1,,
1245,Poro,C-1,,
1246,Demofoonte,C-4,,
1247,Poro,C-1,,
1248,Cleofide,C-1,,
1249,Alessandro,C-4,,
1250,Timagene,F-4,,
1251,Erissena,C-1,,
1252,Erissena,C-1,,
1253,Cleofide,C-1,,
1254,Erissena,C-1,,
1255,Erissena,C-1,,
1256,Erissena,C-1,,
1257,Gandarte,C-1,,
1258,Gandarte,C-1,,
1259,Timante,C-1,,
1260,Dircea,C-1,,
1261,Timante,C-1,,
1262,Gandarte,C-3,,
1263,Poro,C-1,,
1264,Poro,C-1,,
1265,Dircea,C-1,,
1266,Alessandro,C-4,,
1267,Erissena,C-1,,
1268,Timagene,C-1,,
1269,Alessandro,C-4,,
1270,Alessandro,C-1,,
1271,Gandarte,C-1,,
1272,Cleofide,C-1,,
1273,Alessandro,C-1,,
1274,Poro,C-1,,
1275,Cleofide,C-1,,
1276,Poro,C-1,,
1277,Gandarte,C-1,,
1278,"Cleofide,Poro",C-1,C-1,
1279,Cleofide,C-1,,
1280,Poro,C-1,,
1281,Timagene,C-1,,
1282,Erissena,C-1,,
1283,Timagene,C-1,,
1284,Poro,C-1,,
1285,Erissena,C-1,,
1286,Creusa,C-1,,
1287,Matusio,C-4,,
1288,Dircea,C-1,,
1289,Timante,C-1,,
1290,Timante,C-1,,
1291,Erissena,C-1,,
1292,Poro,C-1,,
1293,Cleofide,C-1,,
1294,Erissena,C-1,,
1295,Cleofide,C-1,,
1296,Erissena,C-1,,
1297,Cleofide,C-1,,
1298,Cleofide,C-1,,
1299,Erissena,C-1,,
1300,Timagene,C-3,,
1301,Poro,C-1,,
1302,Cleofide,C-1,,
1303,"Cleofide,Poro",C-1,C-1,
1304,Poro,C-1,,
1305,Alessandro,C-4,,
1306,Erissena,C-1,,
1307,Poro,C-1,,
1308,Cleofide,C-1,,
1309,"Cleofide,Poro",C-1,C-1,
1310,Erissena,C-1,,
1311,Gandarte,C-3,,
1312,Poro,C-1,,
1313,Timagene,F-4,,
1314,Gandarte,C-3,,
1315,Poro,C-1,,
1316,Poro,C-1,,
1317,Poro,C-1,,
1318,Cleofide,C-1,,
1319,Cleofide,C-1,,
1320,Gandarte,C-1,,
1321,Poro,C-1,,
1322,Cleofide,C-1,,
1323,Poro,C-1,,
1324,Alessandro,C-4,,
1325,Alessandro,C-4,,
1326,Poro,C-1,,
1327,Alessandro,C-4,,
1328,Timagene,C-1,,
1329,Poro,C-1,,
1330,Cherinto,C-1,,
1331,Alessandro,C-4,,
1332,Poro,C-1,,
1333,Alessandro,C-4,,
1334,Alessandro,C-4,,
1335,Poro,C-1,,
1336,Gandarte,C-3,,
1337,Erissena,C-1,,
1338,Cleofide,C-1,,
1339,Poro,C-1,,
1340,Erissena,C-1,,
1341,Gandarte,C-1,,
1342,Poro,C-1,,
1343,Alessandro,C-1,,
1344,Erissena,C-1,,
1345,Poro,C-1,,
1346,Erissena,C-1,,
1347,Timagene,F-4,,
1348,Erissena,C-1,,
1349,Timagene,C-1,,
1350,Poro,C-1,,
1351,Poro,C-1,,
1352,Cleofide,C-1,,
1353,"Cleofide,Poro",C-1,C-1,
1354,Alessandro,C-4,,
1355,Timagene,C-1,,
1356,"Cleofide,Poro",C-1,C-1,
1357,Poro,C-1,,
1358,Alessandro,C-4,,
1359,Erissena,C-1,,
1360,Iarba,C-4,,
1361,Araspe,C-3,,
1362,Iarba,C-4,,
1363,Selene,C-1,,
1364,Iarba,C-4,,
1365,Selene,C-1,,
1366,Araspe,C-3,,
1367,Didone,C-1,,
1368,Cleofide,C-1,,
1369,"Cleofide,Poro",C-1,C-1,
1370,Gandarte,C-1,,
1371,Cleofide,C-1,,
1372,Alessandro,C-1,,
1373,Cleofide,C-1,,
1374,Poro,C-1,,
1375,Timagene,C-1,,
1376,Alessandro,C-1,,
1377,Cleofide,C-1,,
1378,Gandarte,C-1,,
1379,Erissena,C-1,,
1380,Cleofide,C-1,,
1381,Alessandro,C-1,,
1382,Poro,C-1,,
1383,Gandarte,C-1,,
1384,Erissena,C-1,,
1385,Cleofide,C-1,,
1386,Gandarte,C-3,,
1387,Alessandro,C-4,,
1388,Erissena,C-1,,
1389,Timagene,C-3,,
1390,Poro,C-1,,
1391,Erissena,C-1,,
1392,Timagene,C-3,,
1393,Erissena,C-1,,
1394,Timagene,C-1,,
1395,Poro,C-1,,
1396,Erissena,C-1,,
1397,"Cleofide,Poro",C-1,C-1,
1398,Gandarte,C-1,,
1399,Alessandro,C-4,,
1400,Cleofide,C-1,,
1401,Alessandro,C-4,,
1402,Osmida,C-1,,
1403,Enea,C-1,,
1404,Timante,C-1,,
1405,"Dircea,Timante",C-1,C-1,
1406,Cleofide,C-1,,
1407,Poro,C-1,,
1408,Cleofide,C-1,,
1409,"Cleofide,Poro",C-1,C-1,
1410,Erissena,C-1,,
1411,Poro,C-1,,
1412,Gandarte,C-3,,
1413,Cleofide,C-1,,
1414,Timagene,C-3,,
1415,Cleofide,C-1,,
1416,Alessandro,F-4,,
1417,Timagene,C-3,,
1418,Erissena,C-1,,
1419,Poro,C-1,,
1420,Alessandro,C-1,,
1421,Alessandro,C-1,,
1422,Cleofide,C-1,,
1423,Poro,C-1,,
1424,Cleofide,C-1,,
1425,Alessandro,C-4,,
1426,Gandarte,C-3,,
1427,Poro,C-1,,
1428,Alessandro,C-1,,
1429,Poro,C-1,,
1430,Gandarte,C-1,,
1431,Poro,C-1,,
1432,Alessandro,C-4,,
1433,Erissena,C-1,,
1434,Poro,C-1,,
1435,Cleofide,C-1,,
1436,"Cleofide,Poro",C-1,C-1,
1437,Gandarte,C-1,,
1438,Erissena,C-1,,
1439,Poro,C-1,,
1440,Cleofide,C-1,,
1441,Poro,C-1,,
1442,Alessandro,C-4,,
1443,Enea,C-1,,
1444,Selene,C-1,,
1445,Enea,C-1,,
1446,Enea,C-1,,
1447,Enea,C-1,,
1448,Enea,C-1,,
1449,Enea,C-1,,
1450,Cleofide,C-1,,
1451,Erissena,C-1,,
1452,"Dircea,Timante,Demofoonte",C-1,C-1,C-4
1453,Poro,C-1,,
1454,Alessandro,C-4,,
1455,Timagene,C-1,,
1456,Poro,C-1,,
1457,Poro,C-1,,
1458,Cleofide,C-1,,
1459,Alessandro,C-4,,
1460,Poro,C-1,,
1461,Selene,C-1,,
1462,Selene,C-1,,
1463,Selene,C-1,,
1464,Alessandro,F-4,,
1465,Gandarte,C-3,,
1466,Iarba,C-1,,
1467,Selene,C-1,,
1468,Iarba,C-1,,
1469,,,,
1470,,,,
1471,,,,
1472,,,,
1473,,,,
1474,,,,
1475,,,,
1476,,,,
1477,,,,
1478,,,,
1479,,,,
1480,,,,
1481,,,,
1482,,,,
1483,,,,
1484,,,,
1485,,,,
1486,,,,
1487,,,,
1488,,,,
1489,,,,
1490,,,,
1491,,,,
1492,,,,
1493,,,,
1494,,,,
